T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
0.35,0.55,4.42,5.31,8.32,4.54,-0.42,1.4445,4.89,4.34
1.17,0.91,3.87,4.8,7.8,3.97,0.34,1.4348,5.14,4.23
1.69,1.13,3.62,4.21,7.24,3.7,1.18,1.4265,5.39,4.26
1.71,1.2,3.49,3.97,6.98,3.57,1.31,1.402,5.28,4.08
1.65,1.2,3.51,3.77,6.75,3.59,1.47,1.4148,5.24,4.04
1.53,1.21,3.36,3.65,6.67,3.44,1.32,1.4372,4.97,3.76
2.04,1.61,2.64,3.07,6.28,2.69,1.66,1.4638,4.73,3.12
2.37,1.84,2.16,2.49,5.53,2.2,2.08,1.4501,4.57,2.73
2.74,1.87,1.87,2.09,5.1,1.91,2.56,1.4356,4.65,2.78
3.37,1.98,1.69,1.82,4.84,1.72,3.27,1.4413,5.09,3.11
3.36,2.01,1.65,1.73,4.75,1.68,3.31,1.4322,5.04,3.03
3.15,1.89,1.73,1.74,4.75,1.76,3.17,1.4227,4.91,3.02
3.45,1.72,1.79,1.73,4.75,1.83,3.55,1.423,5.28,3.56
3.46,1.79,1.72,1.75,4.75,1.75,3.46,1.4429,5.21,3.42
3.4,1.9,1.73,1.75,4.75,1.76,3.41,1.4598,5.16,3.26
3.2,1.94,1.7,1.75,4.75,1.73,3.18,1.4837,4.93,2.99
2.94,2.09,1.68,1.73,4.75,1.71,2.92,1.5565,4.65,2.56
2.61,2.13,1.62,1.74,4.75,1.65,2.52,1.5368,4.26,2.13
2.21,1.87,1.63,1.75,4.75,1.66,2.12,1.5563,3.87,2
2.33,2.03,1.58,1.75,4.75,1.61,2.19,1.5575,3.94,1.91
2.8,2.13,1.23,1.34,4.35,1.25,2.71,1.5711,4.05,1.92
2.82,2.19,1.19,1.24,4.25,1.21,2.79,1.5863,4.03,1.84
2.86,2.31,1.17,1.24,4.25,1.19,2.81,1.6175,4.05,1.74
2.71,2.27,1.17,1.26,4.25,1.19,2.64,1.6079,3.9,1.63
