T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,T10YFFM,GS10,GS2
1.98,1.29,0.51,0.54,1.95,2.49,1.2
1.91,1.22,0.51,0.65,1.78,2.43,1.21
1.89,1.22,0.52,0.66,1.76,2.42,1.2
1.73,1.17,0.74,0.79,1.69,2.48,1.31
1.49,1.06,0.8,0.9,1.4,2.3,1.24
1.4,1,0.89,0.91,1.39,2.3,1.3
1.19,0.85,0.98,1.04,1.15,2.19,1.34
1.23,0.95,1.07,1.15,1.17,2.32,1.37
1.18,0.87,1.01,1.16,1.05,2.21,1.34
1.15,0.82,1.03,1.15,1.05,2.2,1.38
1.27,0.81,1.07,1.15,1.21,2.36,1.55
