ds,y
1-Mar-87,6.60
1-Apr-87,6.30
1-May-87,6.30
1-Jun-87,6.20
1-Jul-87,6.10
1-Aug-87,6.00
1-Sep-87,5.90
1-Oct-87,6.00
1-Nov-87,5.80
1-Dec-87,5.70
1-Jan-88,5.70
1-Feb-88,5.70
1-Mar-88,5.70
1-Apr-88,5.40
1-May-88,5.60
1-Jun-88,5.40
1-Jul-88,5.40
1-Aug-88,5.60
1-Sep-88,5.40
1-Oct-88,5.40
1-Nov-88,5.30
1-Dec-88,5.30
1-Jan-89,5.40
1-Feb-89,5.20
1-Mar-89,5.00
1-Apr-89,5.20
1-May-89,5.20
1-Jun-89,5.30
1-Jul-89,5.20
1-Aug-89,5.20
1-Sep-89,5.30
1-Oct-89,5.30
1-Nov-89,5.40
1-Dec-89,5.40
1-Jan-90,5.40
1-Feb-90,5.30
1-Mar-90,5.20
1-Apr-90,5.40
1-May-90,5.40
1-Jun-90,5.20
1-Jul-90,5.50
1-Aug-90,5.70
1-Sep-90,5.90
1-Oct-90,5.90
1-Nov-90,6.20
1-Dec-90,6.30
1-Jan-91,6.40
1-Feb-91,6.60
1-Mar-91,6.80
1-Apr-91,6.70
1-May-91,6.90
1-Jun-91,6.90
1-Jul-91,6.80
1-Aug-91,6.90
1-Sep-91,6.90
1-Oct-91,7.00
1-Nov-91,7.00
1-Dec-91,7.30
1-Jan-92,7.30
1-Feb-92,7.40
1-Mar-92,7.40
1-Apr-92,7.40
1-May-92,7.60
1-Jun-92,7.80
1-Jul-92,7.70
1-Aug-92,7.60
1-Sep-92,7.60
1-Oct-92,7.30
1-Nov-92,7.40
1-Dec-92,7.40
1-Jan-93,7.30
1-Feb-93,7.10
1-Mar-93,7.00
1-Apr-93,7.10
1-May-93,7.10
1-Jun-93,7.00
1-Jul-93,6.90
1-Aug-93,6.80
1-Sep-93,6.70
1-Oct-93,6.80
1-Nov-93,6.60
1-Dec-93,6.50
1-Jan-94,6.60
1-Feb-94,6.60
1-Mar-94,6.50
1-Apr-94,6.40
1-May-94,6.10
1-Jun-94,6.10
1-Jul-94,6.10
1-Aug-94,6.00
1-Sep-94,5.90
1-Oct-94,5.80
1-Nov-94,5.60
1-Dec-94,5.50
1-Jan-95,5.60
1-Feb-95,5.40
1-Mar-95,5.40
1-Apr-95,5.80
1-May-95,5.60
1-Jun-95,5.60
1-Jul-95,5.70
1-Aug-95,5.70
1-Sep-95,5.60
1-Oct-95,5.50
1-Nov-95,5.60
1-Dec-95,5.60
1-Jan-96,5.60
1-Feb-96,5.50
1-Mar-96,5.50
1-Apr-96,5.60
1-May-96,5.60
1-Jun-96,5.30
1-Jul-96,5.50
1-Aug-96,5.10
1-Sep-96,5.20
1-Oct-96,5.20
1-Nov-96,5.40
1-Dec-96,5.40
1-Jan-97,5.30
1-Feb-97,5.20
1-Mar-97,5.20
1-Apr-97,5.10
1-May-97,4.90
1-Jun-97,5.00
1-Jul-97,4.90
1-Aug-97,4.80
1-Sep-97,4.90
1-Oct-97,4.70
1-Nov-97,4.60
1-Dec-97,4.70
1-Jan-98,4.60
1-Feb-98,4.60
1-Mar-98,4.70
1-Apr-98,4.30
1-May-98,4.40
1-Jun-98,4.50
1-Jul-98,4.50
1-Aug-98,4.50
1-Sep-98,4.60
1-Oct-98,4.50
1-Nov-98,4.40
1-Dec-98,4.40
1-Jan-99,4.30
1-Feb-99,4.40
1-Mar-99,4.20
1-Apr-99,4.30
1-May-99,4.20
1-Jun-99,4.30
1-Jul-99,4.30
1-Aug-99,4.20
1-Sep-99,4.20
1-Oct-99,4.10
1-Nov-99,4.10
1-Dec-99,4.00
1-Jan-00,4.00
1-Feb-00,4.10
1-Mar-00,4.00
1-Apr-00,3.80
1-May-00,4.00
1-Jun-00,4.00
1-Jul-00,4.00
1-Aug-00,4.10
1-Sep-00,3.90
1-Oct-00,3.90
1-Nov-00,3.90
1-Dec-00,3.90
1-Jan-18,4.20
1-Feb-18,4.20
1-Mar-18,4.30
1-Apr-18,4.40
1-May-18,4.30
1-Jun-18,4.50
1-Jul-18,4.60
1-Aug-18,4.90
1-Sep-18,5.00
1-Oct-18,5.30
1-Nov-18,5.50
1-Dec-18,5.70
